Nivel	Pregunta	OpA	OpB	OpC	OpD	Correcta
1	¿Cuál es el objetivo principal de la estadística?	Resolver ecuaciones algebraicas	Calcular derivadas e integrales	Crear gráficos complejos	Resumir, analizar e interpretar datos	OpD
1	¿Qué rama de la estadística representa y describe los datos?	Modelos probabilísticos	Estadística inferencial	Análisis de regresión	Estadística descriptiva	OpD
1	En estadística, ¿qué es una población?	Características que se estudian	Subconjunto de los elementos del estudio	Grupo de individuos seleccionados para el análisis	Conjunto de todos los elementos del estudio	OpD
1	¿Qué es una muestra en un estudio estadístico?	Conjunto completo de individuos	Fase del análisis estadístico	Subconjunto de la población	Tipo de variable	OpC
1	¿Cómo se llama cada elemento de una población o muestra?	Variable	Propiedad	Característica	Individuo	OpD
1	¿Qué representa P(A)?	La media de un conjunto de datos	La varianza del experimento	El número total de resultados	La probabilidad de que ocurra el evento A	OpD
1	¿Entre qué valores puede estar una probabilidad?	Entre -1 y 1	Entre 0 y 100	Entre 0 y 1	Cualquier número real	OpC
1	¿Cuál es la función de los gráficos en el análisis estadístico?	Facilitar la interpretación visual y de tendencias	Hacer cálculos complejos más fáciles	Sustituir cálculos matemáticos	Simplificar datos sin perder información	OpA
1	La suma de las probabilidades de todos los resultados posibles en un experimento es:	0	0,5	1	Depende del experimento	OpC
1	¿Cuál de los siguientes valores NO puede ser una probabilidad?	0,3	1	-0,2	0,75	OpC
1	Si un evento es imposible, su probabilidad es:	1	-1	0,5	0	OpD
1	Si un evento es seguro, su probabilidad es:	0	0,5	1	Depende del experimento	OpC
1	¿Cómo contribuye la estadística a la toma de decisiones?	Sustituyendo completamente el juicio humano	Simplificando los cálculos matemáticos	Eliminando la necesidad de recolectar datos	Proporcionando evidencia cuantitativa para respaldar decisiones	OpD
1	¿Qué es una variable estadística?	Característica estudiada en los individuos	Conjunto de individuos del estudio	Tipo de gráfico	Herramienta de análisis de datos	OpA
1	¿Podemos medir varias variables por individuo en estadística?	No, solo se puede medir una variable por individuo	Sí, es posible medir varias variables por cada individuo	Solo si las variables son cualitativas	Solo si las variables son discretas	OpB
1	En planificación del mercado laboral, una población envejecida indica:	Más demanda en tecnología	Más trabajadores en salud	Más trabajadores en industria pesada	Ningún cambio	OpB
1	Una población con aumento de jóvenes implica:	Más demanda en tecnología	Más demanda en salud	Más demanda en pensiones	Menos trabajadores disponibles	OpA
1	Si no podemos estudiar a toda la población, recurrimos a:	Tomar una muestra	Eliminar datos	Abandonar el estudio estadístico	Siempre puede estudiarse toda la población	OpA
1	La planificación de recursos humanos basada en demografía permite:	Adaptar la contratación y formación según la población disponible	Incrementar automáticamente los sueldos	Aumentar los beneficios sin límite	Reducir la diversidad en la empresa	OpA
1	El número de llamadas recibidas en una empresa es una variable:	Discreta	Continua	Constante	Imposible de medir	OpA
